sku,shopify_collection,enriched_title,variant_1_name,variant_1_value,variant_2_name,variant_2_value,enrichment_comments
280-110-046,,PICOSOL COIL + SCREWS-H4100049,,,,,[INFERRED]
280-120-017,,PIEZOSTERIL 5 HANDPIECE-68C000,,,,,[INFERRED]
280-120-021,,WRENCH FOR REMOVAL OF MICRO PB,,,,,[INFERRED]
280-120-023,,WRENCH FOR REMOVAL OF STD HP,,,,,[INFERRED]
280-150-009,,X-RAY PC-BOARD X-70/S-E6000145,,,,,[INFERRED]
280-150-010,,X-RAY PLATE PART PC-BOARD,,,,,[INFERRED]
280-140-023,,25 MICRON FILTER W/FILTER CAP,,,,,[INFERRED]
280-140-024,,50 MICRON FILTER W/FILTER CAP,,,,,[INFERRED]
280-110-051,,PROPORTIONAL VALVE-F301R20P0,,,,,[INFERRED]
520-150-004,,FUJI I LUTING CEMENT,,,,,[INFERRED]
520-150-007,,TEMP BOND,,,,,[INFERRED]
520-150-006,,IRM CEMENT- DENTSPLY,,,,,[INFERRED]
520-150-003,,DYCAL STD PK IVORY DENTSPLY,,,,,[INFERRED]
520-160-015,,LUMINOS UN SYRINGE A1,,,,,[INFERRED]
520-160-016,,LUMINOS UN SYRINGE A3,,,,,[INFERRED]
520-160-017,,LUMINOS UN SYRINGE A3.5,,,,,[INFERRED]
520-160-014,,LUMINOS HF FLOW SYRINGE A1,,,,,[INFERRED]
520-160-013,,COMPOSITE SYRINGE 20 UNIT,,,,,[INFERRED]
200-200-016,,PROCEDURE TUB - MAUVE,,,,,[INFERRED]
340-110-027,,SAFE-LOK COVER FOR TUB,,,,,[INFERRED]
520-160-002,,BRILL. NG ENAMEL A1/B1 4G,,,,,[INFERRED]
520-160-003,,BRILL. NG ENAMEL A3.5/B3 4G,,,,,[INFERRED]
520-160-004,,BRILL. NG ENAMEL A3/D3 4G,,,,,[INFERRED]
520-160-005,,BRILL. NG ENAMEL TRANSP. 4G,,,,,[INFERRED]
